Parent,Gene,Rep,Sp1,Sp2,Sp3,Sp4,Stem
Oner,6,2,0.0096615111,0.0117929135,0.0080514228,0.0121555799,0.0181704233
Oner,6,3,0.0049739815,0.0142243745,0.0090910608,0.0070398452,0.021514993
Oner,6,4,0.0086283107,0.0085226815,0.0075012878,0.0086322967,0.0235841877
Oner,6,5,0.0080653673,0.0080651197,0.0080573804,0.0101092874,0.0204627317
Oner,6,6,0.007024826,0.0142089106,0.0080648882,0.0080650838,0.0173615182
Oner,6,7,0.0131880175,0.0070219078,0.0090822674,0.0090825647,0.0204817481
Oner,6,8,0.0121568774,0.0090701381,0.0112484764,0.0145417247,0.021060073
Oner,6,9,0.0075622604,0.0107861141,0.0131931417,0.0049831279,0.0202847164
Oner,7,0,0.0064924105,0.0108129497,0.0050019333,0.0091007037,0.022365904
Oner,7,1,0.0152702256,0.0110902382,0.0101174109,0.00805639,0.0173916231
Oner,7,2,0.0114108913,0.0139114569,0.0057282833,0.0115779211,0.021365897
Oner,7,3,0.0090827005,0.0090824766,0.0111275457,0.0090779279,0.0163252065
Oner,7,4,0.0070527201,0.00603325,0.0162645584,0.007020478,0.0163236106
Oner,7,5,0.0054494736,0.0129315091,0.0085768339,0.01703622,0.0147988872
Oner,7,6,0.0154537771,0.0150107249,0.006359548,0.0237898581,0.0177564376
Oner,7,7,0.0111147574,0.0183307143,0.0121645545,0.0100862926,0.0194853219
Oner,7,8,0.0080667593,0.0070476956,0.0128378717,0.0117832212,0.0128875064
Oner,7,9,0.0089950008,0.0071358187,0.0170963026,0.0022127155,0.0203785031
Oner,8,0,0.0111332638,0.007034462,0.0159024183,0.0159024022,0.0181002753
Oner,8,1,0.008473924,0.0168580896,0.0066176765,0.0095140774,0.0152926384
Oner,8,2,0.0100935771,0.01215534,0.0106676112,0.0128056435,0.0234291491
Oner,8,3,0.0118700025,0.0129130527,0.0111298583,0.0152184246,0.0065510743
Oner,8,4,0.0064245772,0.0139444613,0.0139166015,0.0074853163,0.0243321854
Oner,8,5,0.0090911882,0.0070398344,0.0070197625,0.0131902999,0.021515144
Oner,8,6,0.0090566016,0.0152457702,0.011127036,0.0100982136,0.0215518274
Oner,8,7,0.00701916,0.0172948887,0.0111177295,0.016262532,0.0174026262
Oner,8,8,0.0090826988,0.0090824758,0.0101190569,0.0019646183,0.0163069611
Oner,8,9,0.0101120468,0.0050062447,0.0055384855,0.00771575,0.0161221913
Oner,9,0,0.0050082165,0.0101122155,0.0090815363,0.0080672146,0.0183828617
Oner,9,1,0.0049972765,0.0101216516,0.011113071,0.0142092363,0.0215277433
Oner,9,2,0.0070315211,0.0111362191,0.0106057136,0.019094123,0.0202445387
Oner,9,3,0.0107475303,0.008633761,0.0110955685,0.0162880144,0.0203108803
Oner,9,4,0.0073810169,0.0132762128,0.0111525536,0.0059991783,0.0273114593
Oner,9,5,0.0043802288,0.0098441502,0.0111353453,0.0080503121,0.0224104812
Oner,9,6,0.0131767083,0.0100956433,0.0121499482,0.0100977837,0.0163407516
Oner,9,7,0.0070443048,0.0090866798,0.0111292934,0.0070388292,0.0152827465
Oner,9,8,0.0116791968,0.018035728,0.008723012,0.0065576035,0.0189887707
Oner,9,9,0.0080628674,0.0090844813,0.0086067931,0.0139083414,0.0150197011
Oner,10,0,0.0029303202,0.0152596839,0.0098695486,0.0098694857,0.0219802479
Oner,10,1,0.0109961322,0.0021740191,0.0070328714,0.0101158636,0.0234887921
Oner,10,2,0.0111194724,0.0131764062,0.0090733828,0.0121524706,0.0173794607
Oner,10,3,0.0090751402,0.0111301597,0.0100877465,0.0142101733,0.0205021795
Oner,10,4,0.0090963825,0.0039932972,0.0131817517,0.0070283428,0.0173497356
Oner,10,5,0.0160415664,0.0063694059,0.007030459,0.0101191953,0.0266050327
Oner,10,6,0.0131947518,0.0070154294,0.0070495944,0.0070498197,0.0235904053
Oner,10,7,0.0118201848,0.0097198767,0.0101076505,0.0141932477,0.0118810028
Oner,10,8,0.0090874478,0.0100992257,0.0050219403,0.0080667921,0.0142467911
Oner,10,9,0.0100819082,0.0101288867,0.0074532917,0.0149922477,0.022405279
